Date,Temperature,Location
2020-01-01,28.82026172983832,City B
2020-01-02,22.000786041836115,City B
2020-01-03,24.893689920528697,City B
2020-01-04,31.20446599600729,City A
2020-01-05,29.337789950749837,City B
2020-01-06,15.113610600617946,City C
2020-01-07,24.750442087627945,City B
2020-01-08,19.24321395851151,City A
2020-01-09,19.48390574103221,City A
2020-01-10,22.05299250969186,City A
2020-01-11,20.72021785580439,City A
2020-01-12,27.271367534814875,City B
2020-01-13,23.805188625734967,City B
2020-01-14,20.608375082464143,City C
2020-01-15,22.21931616372713,City A
2020-01-16,21.668371636871335,City B
2020-01-17,27.47039536578803,City B
2020-01-18,18.974208681170996,City A
2020-01-19,21.565338508254506,City B
2020-01-20,15.729521303491376,City B
2020-01-21,7.235050920829607,City A
2020-01-22,23.268092977201803,City C
2020-01-23,24.32218099429753,City C
2020-01-24,16.28917489796779,City C
2020-01-25,31.348773119938038,City C
2020-01-26,12.728171627006176,City C
2020-01-27,20.22879258650723,City B
2020-01-28,19.064080749870833,City B
2020-01-29,27.663896071792287,City B
2020-01-30,27.346793849501424,City C
2020-01-31,20.77473712848458,City B
2020-02-01,21.890812598010868,City C
2020-02-02,15.561071261849436,City B
2020-02-03,10.096017658880365,City B
2020-02-04,18.26043925336924,City A
2020-02-05,20.7817448455199,City B
2020-02-06,26.151453403638605,City C
2020-02-07,26.011899243922056,City A
2020-02-08,18.06336591296024,City A
2020-02-09,18.488486247123323,City B
2020-02-10,14.757235174664537,City C
2020-02-11,12.899910314105124,City A
2020-02-12,11.468649046874937,City B
2020-02-13,29.75387697615895,City B
2020-02-14,17.451739091241734,City A
2020-02-15,17.809628491944068,City C
2020-02-16,13.736023199750369,City B
2020-02-17,23.88745177915955,City B
2020-02-18,11.930510762210243,City B
2020-02-19,18.936298598930158,City C
2020-02-20,15.522667194031623,City C
2020-02-21,21.93451248929631,City B
2020-02-22,17.445974312155634,City B
2020-02-23,14.096839079387939,City C
2020-02-24,19.859088858306727,City B
2020-02-25,22.141659352652088,City B
2020-02-26,20.33258611191584,City C
2020-02-27,21.512359488698905,City A
2020-02-28,16.82838953159518,City A
2020-02-29,18.186294170064308,City B
2020-03-01,16.637697761120243,City C
2020-03-02,18.202234192297293,City B
2020-03-03,15.93426858977773,City B
2020-03-04,11.368586988341615,City B
2020-03-05,20.887130711268764,City A
2020-03-06,17.991095318958692,City A
2020-03-07,11.849008265169777,City B
2020-03-08,22.313911277628872,City C
2020-03-09,15.463508178083789,City A
2020-03-10,20.259726978980694,City C
2020-03-11,23.645452810887683,City C
2020-03-12,20.644914553787054,City C
2020-03-13,25.697003422716502,City B
2020-03-14,13.825870898231738,City A
2020-03-15,22.011708205887746,City C
2020-03-16,16.575949545298435,City B
2020-03-17,15.646014254090591,City B
2020-03-18,17.105751676177924,City B
2020-03-19,18.442237339363135,City C
2020-03-20,20.280826711148727,City C
2020-03-21,14.174250796083218,City B
2020-03-22,24.504132434770938,City A
2020-03-23,22.3283121986523,City B
2020-03-24,12.31878156861388,City C
2020-03-25,27.441260968978,City A
2020-03-26,29.479445880152916,City A
2020-03-27,25.893897855798254,City A
2020-03-28,19.100375820938247,City B
2020-03-29,14.646236892447288,City A
2020-03-30,25.272258634655685,City A
2020-03-31,17.9841152651341,City C
2020-04-01,26.112225351912137,City B
2020-04-02,21.0413748903843,City A
2020-04-03,24.883195182418564,City A
2020-04-04,21.78183198587201,City C
2020-04-05,23.53286584095974,City C
2020-04-06,20.052500103604103,City A
2020-04-07,28.929352469529178,City A
2020-04-08,20.6345604635181,City A
2020-04-09,22.009946817223508,City A
2020-04-10,29.41575348528127,City B
2020-04-11,13.261204694287768,City A
2020-04-12,13.647575007571332,City B
2020-04-13,24.846983540790056,City B
2020-04-14,14.1343829744292,City A
2020-04-15,29.718105928246462,City A
2020-04-16,17.931905096201262,City C
2020-04-17,16.262725942796212,City B
2020-04-18,29.614710132401925,City B
2020-04-19,27.402573957172123,City A
2020-04-20,29.337794802132848,City A
2020-04-21,24.530223291376927,City A
2020-04-22,15.693871574726487,City A
2020-04-23,29.55032476549517,City C
2020-04-24,18.659983145243096,City A
2020-04-25,24.012281978981974,City C
2020-04-26,24.73625983886874,City A
2020-04-27,19.22494953454583,City A
2020-04-28,23.0703968517304,City B
2020-04-29,24.611033357832632,City A
2020-04-30,21.88212765577815,City B
2020-05-01,14.502996047079026,City B
2020-05-02,21.49119087103028,City A
2020-05-03,26.63192948343515,City C
2020-05-04,16.527160701343174,City B
2020-05-05,19.251827298361647,City A
2020-05-06,17.82423224139181,City C
2020-05-07,29.24631864239671,City B
2020-05-08,23.361473785062177,City B
2020-05-09,22.03730918120555,City B
2020-05-10,16.150419627773417,City B
2020-05-11,22.696245956459087,City C
2020-05-12,16.62833669671312,City C
2020-05-13,20.159152791371756,City A
2020-05-14,16.820769608105596,City B
2020-05-15,23.3821664747325,City B
2020-05-16,22.882954083074704,City B
2020-05-17,18.958506222110024,City B
2020-05-18,21.980033563308226,City B
2020-05-19,14.534692456347472,City B
2020-05-20,12.543712036471973,City C
2020-05-21,22.196958506322684,City B
2020-05-22,20.833367476862644,City C
2020-05-23,23.17515718446053,City A
2020-05-24,31.91572387431971,City C
2020-05-25,24.722397434952068,City A
2020-05-26,15.435888872779207,City A
2020-05-27,25.585081440479264,City C
2020-05-28,13.420462947442395,City C
2020-05-29,17.692076975926454,City B
2020-05-30,19.658791973376843,City B
2020-05-31,28.566713608246832,City A
2020-06-01,16.2762258897578,City A
2020-06-02,15.867807306704929,City C
2020-06-03,19.50773737787284,City A
2020-06-04,16.682608568189462,City B
2020-06-05,25.633179610532537,City C
2020-06-06,14.600342458182883,City B
2020-06-07,14.262656737944488,City C
2020-06-08,17.81089977627783,City A
2020-06-09,17.509837746538476,City A
2020-06-10,29.64766026908493,City B
2020-06-11,24.747104034628805,City A
2020-06-12,20.437756206925954,City C
2020-06-13,13.87282240584916,City B
2020-06-14,24.221814882007735,City B
2020-06-15,14.998923263052177,City A
2020-06-16,12.276144516111941,City A
2020-06-17,25.94014896176151,City C
2020-06-18,21.58471305962425,City A
2020-06-19,24.604294118904093,City B
2020-06-20,21.593638264715107,City C
2020-06-21,24.284153059513457,City B
2020-06-22,16.744872033499266,City B
2020-06-23,14.828785791077676,City B
2020-06-24,23.407972591408136,City A
2020-06-25,15.982951679130794,City C
2020-06-26,16.552251111248996,City C
2020-06-27,17.722337482413284,City A
2020-06-28,20.087395795125282,City A
2020-06-29,18.23003044373258,City A
2020-06-30,13.125243532909906,City A
2020-07-01,16.78190798583555,City B
2020-07-02,8.882984238877867,City B
2020-07-03,23.126157255135936,City A
2020-07-04,11.989711721966263,City B
2020-07-05,14.478083302857748,City B
2020-07-06,20.26082539630487,City A
2020-07-07,16.302185018043435,City B
2020-07-08,27.715072977033678,City A
2020-07-09,13.535715451382757,City C
2020-07-10,21.335254346745913,City C
2020-07-11,19.803585908862523,City A
2020-07-12,14.159532511294014,City B
2020-07-13,22.616383302658768,City A
2020-07-14,19.14226834388876,City C
2020-07-15,23.858952756068337,City C
2020-07-16,24.117520769818658,City A
2020-07-17,30.81617974640345,City A
2020-07-18,26.68263974718196,City A
2020-07-19,18.154090810287784,City B
2020-07-20,18.80310411212037,City A
2020-07-21,25.498297979435566,City A
2020-07-22,23.27631865361299,City B
2020-07-23,23.20065763048796,City B
2020-07-24,11.915219778445827,City C
2020-07-25,19.87836937800532,City C
2020-07-26,16.309845453971555,City A
2020-07-27,21.39962299521619,City C
2020-07-28,19.50924805178521,City C
2020-07-29,24.55089454046296,City B
2020-07-30,21.58609107595651,City B
2020-07-31,23.93163981054488,City B
2020-08-01,17.667904516320284,City C
2020-08-02,15.277768720408748,City B
2020-08-03,17.949751533987257,City C
2020-08-04,19.914897930692796,City B
2020-08-05,21.895758677775408,City C
2020-08-06,31.29654475345426,City B
2020-08-07,19.788714241696788,City C
2020-08-08,15.220274997536116,City C
2020-08-09,18.270091121503068,City B
2020-08-10,17.68202012676953,City B
2020-08-11,22.40740736886731,City B
2020-08-12,12.296014927776877,City A
2020-08-13,20.316309971001658,City A
2020-08-14,20.782532689826876,City B
2020-08-15,21.16090518100138,City B
2020-08-16,17.013419655173188,City A
2020-08-17,18.810391351319964,City B
2020-08-18,12.879695455087342,City B
2020-08-19,17.533400583189028,City A
2020-08-20,17.28569261991641,City C
2020-08-21,22.080250231307126,City A
2020-08-22,14.219087840890436,City B
2020-08-23,23.905990508549966,City B
2020-08-24,27.472422722456844,City C
2020-08-25,9.650074874932336,City B
2020-08-26,22.131293653890506,City B
2020-08-27,23.384540175151226,City A
2020-08-28,16.812814872238853,City A
2020-08-29,18.01364092835601,City B
2020-08-30,19.335597112065223,City B
2020-08-31,18.51104560299136,City B
2020-09-01,18.45493515476439,City B
2020-09-02,11.619980968350117,City C
2020-09-03,25.7616578239156,City A
2020-09-04,25.398092960184105,City A
2020-09-05,15.933178703978985,City B
2020-09-06,12.66787836098743,City B
2020-09-07,22.60532438226379,City B
2020-09-08,17.121060150934667,City A
2020-09-09,20.7097658166039,City B
2020-09-10,18.403357914274522,City B
2020-09-11,23.45769375535093,City C
2020-09-12,23.47374571828003,City A
2020-09-13,16.37201310768208,City C
2020-09-14,13.083180223024723,City B
2020-09-15,12.08530801332459,City C
2020-09-16,23.051896895536025,City C
2020-09-17,14.055703711079856,City A
2020-09-18,17.465918228506563,City C
2020-09-19,17.01842980774746,City B
2020-09-20,19.73716351865227,City B
2020-09-21,10.318600970767465,City B
2020-09-22,20.943892983969143,City B
2020-09-23,22.61945511917103,City A
2020-09-24,20.442110435223306,City B
2020-09-25,18.44556914150764,City A
2020-09-26,20.487000831343916,City A
2020-09-27,21.99523172820065,City A
2020-09-28,6.137036217866749,City B
2020-09-29,29.77956154125347,City A
2020-09-30,21.950466613439634,City C
2020-10-01,16.7379570880649,City C
2020-10-02,18.045233124061994,City B
2020-10-03,22.468708886745944,City C
2020-10-04,19.419480304828166,City C
2020-10-05,9.846577661092528,City C
2020-10-06,30.322464306796597,City C
2020-10-07,19.447296713837638,City A
2020-10-08,25.100863558579,City C
2020-10-09,16.539750761078043,City B
2020-10-10,27.68188527122899,City B
2020-10-11,21.4317184444614,City C
2020-10-12,23.044219172377254,City C
2020-10-13,14.773733169265226,City C
2020-10-14,26.055726448413505,City C
2020-10-15,23.44909082267394,City C
2020-10-16,26.50923114782499,City A
2020-10-17,16.859562201792105,City B
2020-10-18,17.59486440769606,City B
2020-10-19,31.51958348841971,City A
2020-10-20,14.699920886392263,City A
2020-10-21,19.320251496608396,City A
2020-10-22,25.684456813013476,City B
2020-10-23,20.488624838574278,City B
2020-10-24,22.91476839876647,City C
2020-10-25,18.002754853685623,City A
2020-10-26,21.850279439237593,City B
2020-10-27,13.467365741323416,City B
